MHA_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECTID,ZONEID,ZONING,CONTRACT,ORDINANCE,EFFECTIVE,HISTORIC,PEDESTRIAN,SHORELINE,OVERLAY,LIGHTRAIL,MHA,IZ,MHA_VALUE,SE_ANNO_CAD_DATA,MIO_NAME,Tract,Neighborhood,ZIP,CLASS_DESC,CATEGORY_DESC,ZONELUT,ZONELUT_DESC,DETAIL_DESC,ZONING_DESC,BASE_ZONE,ZONING_PREV,CONTRACT_PREV,ORDINANCE_PREV,EFFECTIVE_PREV,HISTORIC_PREV,PEDESTRIAN_PREV,SHORELINE_PREV,OVERLAY_PREV,LIGHTRAIL_PREV,BZONEID,PUBLIC_DESCRIPTION,CHAPTER,CHAPTER_LINK,SHAPE_Length,SHAPE_Area
2761,5196,HR (M),CF290620,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,,,First Hill,98101,Multi-Family,High-Density Multi-Family,HR,Highrise,Highrise,Highrise,HR,HR-PUD,CF290620,0,, , , , , ,4098,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,0.001240256,8.99760040369814E-08
257,5429,NC3-75 (M), ,125791,2019/04/19 00:00:00+00, , , , , ,Y,N,M,,,,Broadway,98101,Commercial/Mixed Use,Neighborhood Commercial,NC3,Neighborhood Commercial 3,Neighborhood Commercial 3,Neighborhood Commercial 3-75,NC3-75,NC3-65, ,117434,1995/04/03 00:00:00+00, , , , , ,976,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,0.002429585,2.78825252680936E-07
957,6308,MR (M), ,125791,2019/04/19 00:00:00+00, , , , , ,Y,N,M,,,,,98101,Multi-Family,High-Density Multi-Family,MR,Midrise,Midrise,Midrise,MR,MR, ,0,, , , , , ,3931,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,0.004496372,1.11865531682412E-06
3410,6424,NC3-75 (M), ,125791,2019/04/19 00:00:00+00, , , , , ,Y,N,M,,,,,98101,Commercial/Mixed Use,Neighborhood Commercial,NC3,Neighborhood Commercial 3,Neighborhood Commercial 3,Neighborhood Commercial 3-75,NC3-75,NC3-65, ,117434,1995/04/03 00:00:00+00, , , , , ,975,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,0.004762592,7.76318289862509E-07
3316,6425,MR (M), ,125791,2019/04/19 00:00:00+00, , , , , ,Y,N,M,,,,,98101,Multi-Family,High-Density Multi-Family,MR,Midrise,Midrise,Midrise,MR,MR, ,0,, , , , , ,3921,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,0.028391919,2.35901666115583E-05
3414,6429,NC3P-95 (M), ,125791,2019/04/19 00:00:00+00, ,P, ,PN, ,Y,N,M,,,,,98101,Commercial/Mixed Use,Neighborhood Commercial,NC3,Neighborhood Commercial 3,Neighborhood Commercial 3,Neighborhood Commercial 3 Pedestrian-95,NC3P-95,NC3P-85, ,123020,2009/08/07 00:00:00+00, ,P, ,PN, ,1767,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,0.010271377,6.16831713563937E-06
3416,6430,HR (M), ,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,,,,98101,Multi-Family,High-Density Multi-Family,HR,Highrise,Highrise,Highrise,HR,HR, ,0,, , , , , ,4097,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,0.023408459,1.0615251941435E-05
3483,6824,MIO-240-HR (M),CF299691,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,Virgina Mason Medical Center,,,98101,Major Institutions,Major Institutions,MIO,Major Institution Overlay,Major Institution Overlay,Major Institution Overlay-Highrise,HR,MIO-240-HR,CF299691,117106,1994/05/27 00:00:00+00, , , , , ,4119,is located in a Major Institution Overlay. In this area development is generally governed by the,Chapter 23.69,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.69MAINOVDI,0.002174856,2.74759200558751E-07
3503,6844,MIO-240-HR (M),CF311081,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,Virgina Mason Medical Center,,,98101,Major Institutions,Major Institutions,MIO,Major Institution Overlay,Major Institution Overlay,Major Institution Overlay-Highrise,HR,MIO-240-HR,CF311081,124403,2014/01/15 00:00:00+00, , , , , ,3196,is located in a Major Institution Overlay. In this area development is generally governed by the,Chapter 23.69,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.69MAINOVDI,0.00133431,3.54948774340485E-08
3506,6847,MIO-240-HR (M),CF299691,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,Virgina Mason Medical Center,,,98101,Major Institutions,Major Institutions,MIO,Major Institution Overlay,Major Institution Overlay,Major Institution Overlay-Highrise,HR,MIO-240-HR,CF299691,123020,2009/08/07 00:00:00+00, , , , , ,1816,is located in a Major Institution Overlay. In this area development is generally governed by the,Chapter 23.69,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.69MAINOVDI,0.008688822,3.84263563214939E-06
3509,6850,MIO-240-HR (M),CF299691,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,Virgina Mason Medical Center,,,98101,Major Institutions,Major Institutions,MIO,Major Institution Overlay,Major Institution Overlay,Major Institution Overlay-Highrise,HR,MIO-240-HR,CF299691,117106,1994/05/27 00:00:00+00, , , , , ,4119,is located in a Major Institution Overlay. In this area development is generally governed by the,Chapter 23.69,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.69MAINOVDI,0.005267066,1.00288882119258E-06
3513,6854,MIO-240-HR (M),CF290620,125791,2019/04/19 00:00:00+00, , , , , ,Y,Y,M,,Virgina Mason Medical Center,,,98101,Major Institutions,Major Institutions,MIO,Major Institution Overlay,Major Institution Overlay,Major Institution Overlay-Highrise,HR,MIO-240-HR-PUD,CF290620,110704,1982/09/03 00:00:00+00, , , , , ,4120,is located in a Major Institution Overlay. In this area development is generally governed by the,Chapter 23.69,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.69MAINOVDI,0.001619324,8.27927468374971E-08
3603,7513,DMC 240/290-440, ,126917,2023/11/05 00:00:00+00, , , ,DF, ,Y,Y,None,,,,,98101,Downtown,Downtown,DMC,Downtown Mixed Commercial,Downtown Mixed,Downtown Mixed Commercial 240/290-440,DMC 240/290-440,DRC 85-170, ,125291,2017/05/14 00:00:00+00, , , ,DF, ,3685,is in a zone Downtown where both commercial and residential development is generally allowed.,Chapter 23.49,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.49DOZO,0.012509401,3.32482094787079E-06
1467,4330,LR3 (M), ,125791,2019/04/19 00:00:00+00, , , , , ,Y,N,M,,,,Broadway,98102,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,2011/04/19 00:00:00+00, , , , , ,2492,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,0.005679178,5.03551248440343E-07
