OBJECTID,GEOID_20,GROSS_ACRES,ACRES_LAND,ACRES_WATER,TRBL_STR,NAME,TRACT_NUMB,TRACT_LABEL,WATER,VILLNUMB,VILLNAME,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,COUNCIL_DIST_13,COUNCIL_DIST_24,Shape__Area,Shape__Length
1,530330107022003,4.89556842489142,4.89565181,0,10702.2003,Block 2003,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,213251.813537598,1944.56790686029
2,530330107023007,4.93741919605861,4.93765972,0,10702.3007,Block 3007,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,215074.840499878,1970.14475037285
3,530330107022005,0.422009428187464,0.42205599,0,10702.2005,Block 2005,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,18382.8041992188,730.970465750089
4,530330107022004,10.5669629204717,10.56721451,0,10702.2004,Block 2004,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,460298.746047974,2798.10472848936
5,530330107023000,0.949032935106197,0.94913177,0,10702.3000,Block 3000,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,41340.0400238037,1439.27959838668
6,530330005001009,88.7593512894866,88.76643049,0,500.1009,Block 1009,500,5,0,0,Outside Villages,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5,5,3866372.80789185,13429.345467395
7,530330107022000,1.223967745657,1.22391295,0,10702.2000,Block 2000,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,53316.2482452393,945.11827632796
8,530330067032005,4.16455693877718,4.16471409,0,6703.2005,Block 2005,6703,67.03,0,0,Outside Villages,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,7,181408.825866699,1797.86107950671
9,530330074041003,1.0916671911396,1.09171157,0,7404.1003,Block 1003,7404,74.04,0,414.1,Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,3,47553.2130737305,919.153188030376
10,530330042021016,1.42062510942809,1.42060884,0,4202.1016,Block 1016,4202,42.02,0,0,Outside Villages,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,4,61882.6773071289,1219.04939878555
11,530330109002010,1.6978308032404,1.69786107,0,10900.2010,Block 2010,10900,109,0,502,Greater Duwamish,3.2,3,Georgetown,Georgetown,2,1,73957.8056182861,1077.2370108369
12,530330100013016,2.49681021408234,2.49699988,0,10001.3016,Block 3016,10001,100.01,0,111,Columbia City,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,108761.487960815,1338.02867328023
13,530330100013020,5.51364992344908,5.51390947,0,10001.3020,Block 3020,10001,100.01,0,111,Columbia City,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,240175.551361084,2544.08664437089
14,530330100013015,2.44732137065203,2.44733169,0,10001.3015,Block 3015,10001,100.01,0,111,Columbia City,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,106605.745361328,1317.20422553593
15,530330100013019,2.48831342445585,2.48835119,0,10001.3019,Block 3019,10001,100.01,0,111,Columbia City,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,108391.366333008,1334.91851934942
16,530330100013011,3.53243245290705,3.53261853,0,10001.3011,Block 3011,10001,100.01,0,111,Columbia City,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,153873.373153687,1653.28169773516
17,530330100013017,1.59045825666497,1.59037023,0,10001.3017,Block 3017,10001,100.01,0,111,Columbia City,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,69280.6387634277,1099.36154517165
18,530330100013006,0.610174902170029,0.61010319,0,10001.3006,Block 3006,10001,100.01,0,0,Outside Villages,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,26579.3250427246,880.202469973952
19,530330100013004,55.7285138692627,55.73017079,0,10001.3004,Block 3004,10001,100.01,0,0,Outside Villages,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,2427543.77426147,9314.57867991404
20,530330102001013,3.03589072587851,3.03593671,0,10200.1013,Block 1013,10200,102,0,0,Outside Villages,4.3,4,Seward Park,"Seward Park, Hillman City",2,2,132243.928985596,1474.61225709223
21,530330032011004,1.01891347135419,1.01906259,0,3201.1004,Block 1004,3201,32.01,0,0,Outside Villages,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6,6,44384.0483398438,1372.88543772847
22,530330093001039,1.12793002598907,1.12803606,0,9300.1039,Block 1039,9300,93,0,110,North Beacon Hill,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",2,2,49132.8284606934,944.424255856831
23,530330111021015,25.7296024314481,25.7300949,0,11102.1015,Block 1015,11102,111.02,0,0,Outside Villages,4.3,4,Seward Park,"Seward Park, Hillman City",2,2,1120785.96504211,4610.41468435356
24,530330100013010,2.63333504455356,2.63340205,0,10001.3010,Block 3010,10001,100.01,0,111,Columbia City,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,2,114708.533370972,1393.89449870142
25,530330107013005,75.0917264068981,75.09359555,0,10701.3005,Block 3005,10701,107.01,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,3271008.68632507,11374.4212662029
26,530330107022013,3.34490010924175,3.34506554,0,10702.2013,Block 2013,10702,107.02,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,145704.431533813,1542.12370486701
27,530330017012009,2.8741800172448,2.87432979,0,1701.2009,Block 2009,1701,17.01,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",5,5,125199.782348633,1694.91398290022
28,530330017012016,2.56677852851711,2.5669307,0,1701.2016,Block 2016,1701,17.01,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",5,5,111809.319915771,1682.12989098105
29,530330110011004,1.13871491672642,1.1386616,0,11001.1004,Block 1004,11001,110.01,0,123,Othello,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,2,49602.6201782227,894.972436028544
30,530330107011003,5.1904060275442,5.19044853,0,10701.1003,Block 1003,10701,107.01,0,0,Outside Villages,2.2,2,High Point,"High Point, Delridge",1,1,226094.990936279,2767.44644397135
31,530330013001000,6.27752859344176,6.27795931,0,1300.1000,Block 1000,1300,13,0,301,Northgate,9.2,9,Licton Springs,Licton Springs,5,5,273450.239349365,2145.33726267007
32,530330117004016,2.63442750074601,2.63439047,0,11700.4016,Block 4016,11700,117,0,0,Outside Villages,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,2,114756.12097168,1413.15827849522
33,530330007004003,2.10971814349128,2.10978574,0,700.4003,Block 4003,700,7,0,201,Lake City,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,5,91899.6899414063,1612.26885092458
34,530330036022006,3.00132063477619,3.00158906,0,3602.2006,Block 2006,3602,36.02,0,207,Green Lake,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6,6,130738.04977417,1965.95502400404
35,530330019003000,10.0821624162492,10.08288797,0,1900.3000,Block 3000,1900,19,0,301,Northgate,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",5,5,439180.751556396,2649.07966396263
36,530330056004009,6.58261975476415,6.58288735,0,5600.4009,Block 4009,5600,56,0,0,Outside Villages,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",7,6,286740.06350708,3147.83652940456
37,530330032022011,1.66564466492987,1.66573737,0,3202.2011,Block 2011,3202,32.02,0,303,Ballard,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6,6,72555.7717590332,1571.66037901598
38,530330056001019,2.10330588245792,2.103361,0,5600.1019,Block 1019,5600,56,0,0,Outside Villages,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",7,6,91620.3706665039,1266.4327926821
39,530330056001020,6.10623310691986,6.10646818,0,5600.1020,Block 1020,5600,56,0,0,Outside Villages,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",7,6,265988.578094482,2638.2544421598
40,530330089003010,1.24148144244733,1.24145743,0,8900.3010,Block 3010,8900,89,0,109,23rd & Union-Jackson,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",3,3,54079.1480712891,913.288801492374
41,530330265001007,32.4855913561646,32.48595602,0,26500.1007,Block 1007,26500,265,0,0,Outside Villages,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge",1,1,1415078.01972961,5119.68988892585
42,530330119013009,13.7646861745285,13.76475814,0,11901.3009,Block 3009,11901,119.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,599592.128112793,3260.35695181058
43,530330119013010,6.08309828028011,6.08299316,0,11901.3010,Block 3010,11901,119.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,264980.821044922,2460.23150118408
44,530330119013011,1.98036725128515,1.98030252,0,11901.3011,Block 3011,11901,119.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,86265.1425018311,1546.63665064172
45,530330119013013,0.315030425206358,0.31505936,0,11901.3013,Block 3013,11901,119.01,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,13722.7802124023,567.875255529852
46,530330117002025,7.77899331413321,7.7791245,0,11700.2025,Block 2025,11700,117,0,502,Greater Duwamish,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,2,338854.304168701,7892.65199720076
47,530330117002006,19.4607128028278,19.46103139,0,11700.2006,Block 2006,11700,117,0,502,Greater Duwamish,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,1,847712.040542603,5118.59694616048
48,530330097012007,1.51153158692152,1.51154362,0,9701.2007,Block 2007,9701,97.01,0,0,Outside Villages,1.4,1,Alki/Admiral,"Alki, Admiral",1,1,65842.579284668,1072.42334527761
49,530330110022009,6.55612606731768,6.55619997,0,11002.2009,Block 2009,11002,110.02,0,0,Outside Villages,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,2,285585.993835449,2341.57542248589
50,530330102004021,3.41591793526965,3.41598479,0,10200.4021,Block 4021,10200,102,0,0,Outside Villages,4.3,4,Seward Park,"Seward Park, Hillman City",2,2,148797.980422974,1550.2691759029
51,530330061002017,9.79292361824751,9.79352757,0,6100.2017,Block 2017,6100,61,0,0,Outside Villages,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3,3,426581.459197998,3714.39235642913
52,530330003001006,5.3624992641993,5.36292808,0,300.1006,Block 1006,300,3,0,0,Outside Villages,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,5,233591.402282715,2007.96073154634
53,530330003001029,2.23506944194169,2.23531528,0,300.1029,Block 1029,300,3,0,0,Outside Villages,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,5,97360.0143127441,1582.50560101015
54,530330003001032,3.4973389461542,3.49752956,0,300.1032,Block 1032,300,3,0,0,Outside Villages,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,5,152344.693847656,1931.87384929426
55,530330006021011,9.90459477504828,9.9054663,0,602.1011,Block 1011,602,6.02,0,0,Outside Villages,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,5,431445.874206543,2627.55709754522
56,530330002011000,182.934132993988,182.94842251,0,201.1000,Block 1000,201,2.01,0,0,Outside Villages,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,5,7968642.70779419,12215.633724408
57,530330006013007,10.2234442184285,10.22423224,0,601.3007,Block 3007,601,6.01,0,0,Outside Villages,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,5,445335.011444092,2669.81103343253
58,530330036021017,1.55478274268589,1.55478706,0,3602.1017,Block 1017,3602,36.02,0,202,Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",4,4,67726.6071777344,1091.82792836715
59,530330006012012,13.0361701873253,13.0370328,0,601.2012,Block 2012,601,6.01,0,0,Outside Villages,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,5,567857.84475708,3478.05087574958
60,530330006012002,4.12885536255031,4.12913092,0,601.2002,Block 2002,601,6.01,0,0,Outside Villages,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,5,179853.658966064,1848.33555706793
61,530330006013006,10.2135973652195,10.21434803,0,601.3006,Block 3006,601,6.01,0,0,Outside Villages,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,5,444906.080871582,2668.7787986179
62,530330036021007,1.92276402972374,1.92297407,0,3602.1007,Block 1007,3602,36.02,0,202,Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",4,4,83755.9361572266,1166.64127266957
63,530330036012008,4.3038897243746,4.30408153,0,3601.2008,Block 2008,3601,36.01,0,0,Outside Villages,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6,6,187478.186309814,1899.33181020502
64,530330036011013,3.19998825632114,3.20026179,0,3601.1013,Block 1013,3601,36.01,0,0,Outside Villages,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6,6,139392.046020508,1615.55380369693
65,530330045002006,3.97804965510439,3.97839663,0,4500.2006,Block 2006,4500,45,0,0,Outside Villages,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",6,6,173284.536132813,1852.6699151165
66,530330045002011,4.20324733091753,4.20350964,0,4500.2011,Block 2011,4500,45,0,0,Outside Villages,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",6,6,183094.186096191,1884.61632305534
67,530330045002012,4.03103146480385,4.03127719,0,4500.2012,Block 2012,4500,45,0,0,Outside Villages,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",6,6,175592.432983398,1864.12302923651
68,530330036011007,1.3914349474134,1.3914504,0,3601.1007,Block 1007,3601,36.01,0,0,Outside Villages,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",4,4,60611.1487426758,1996.03926243011
69,530330036021013,4.09297511193854,4.09330064,0,3602.1013,Block 1013,3602,36.02,0,202,Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",4,4,178290.709136963,1858.09215095468
70,530330044013003,3.6043079793903,3.60452619,0,4401.3003,Block 3003,4401,44.01,0,0,Outside Villages,7.2,7,University District,"University District, Cowen Park, Ravenna",4,4,157004.283599854,1680.85533511662
71,530330044012001,2.29021959282762,2.29041978,0,4401.2001,Block 2001,4401,44.01,0,0,Outside Villages,7.2,7,University District,"University District, Cowen Park, Ravenna",4,4,99762.3645019531,1284.269257505
72,530330025002012,10.5711462778249,10.57190952,0,2500.2012,Block 2012,2500,25,0,0,Outside Villages,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,4,460480.973754883,2705.28019588157
73,530330093003008,2.48048354269607,2.48069092,0,9300.3008,Block 3008,9300,93,0,502,Greater Duwamish,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",2,1,108050.295318604,1298.25171163376
74,530330119022000,300.843590885354,0,300.847589,11902.2000,Block 2000,11902,119.02,1,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,13104799.2380829,17141.9444415263
75,530330119021007,4.75963165721815,4.75974385,0,11902.1007,Block 1007,11902,119.02,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,207330.38432312,2007.3141710315
76,530330106013011,3.11053768855234,3.11056254,0,10601.3011,Block 3011,10601,106.01,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,135495.563705444,1494.55861906297
77,530330106013002,4.13581267742899,4.13580276,0,10601.3002,Block 3002,10601,106.01,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,180156.72088623,1768.14009270017
78,530330118021004,5.23411944966006,5.23418618,0,11802.1004,Block 1004,11802,118.02,0,0,Outside Villages,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,227999.155212402,2168.08968933378
79,530330106023005,4.70505224026603,4.70513356,0,10602.3005,Block 3005,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,204952.89541626,1901.53089063566
80,530330105021012,5.02585255035499,5.02612345,0,10502.1012,Block 1012,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,218927.012786865,1981.97528626506
81,530330105022013,4.79391940336895,4.7940915,0,10502.2013,Block 2013,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,208823.964508057,1942.66711223861
82,530330106011002,5.03092020460903,5.03106556,0,10601.1002,Block 1002,10601,106.01,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,219147.76071167,1986.06695362981
83,530330118023000,16.482541136683,16.48291733,0,11802.3000,Block 3000,11802,118.02,0,204,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,717982.363845825,4507.58375358718
84,530330106011007,4.86491525262283,4.86501074,0,10601.1007,Block 1007,10601,106.01,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,211916.55607605,1962.16030832301
85,530330106021011,5.05394286097707,5.05404636,0,10602.1011,Block 1011,10602,106.02,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,220150.631622314,1954.05346422961
86,530330111023003,5.69693400801912,5.69701456,0,11102.3003,Block 3003,11102,111.02,0,0,Outside Villages,4.3,4,Seward Park,"Seward Park, Hillman City",2,2,248159.43800354,2069.39732011887
87,530330118023004,5.82027292114443,5.82032014,0,11802.3004,Block 3004,11802,118.02,0,204,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,2,253532.102554321,2267.78846331163
88,530330116023023,8.79275965003202,0,8.79275077,11602.3023,Block 3023,11602,116.02,1,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,383014.142425537,2944.65860004802
89,530330058032014,0.27617980931877,0.27626382,0,5803.2014,Block 2014,5803,58.03,0,0,Outside Villages,12.2,12,Interbay,Interbay,7,7,12030.4406433105,485.529399176443
90,530330093003158,2.45538162489776,2.45548617,0,9300.3158,Block 3158,9300,93,0,502,Greater Duwamish,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",2,1,106956.851409912,1325.62263889332
91,530330067032002,5.27700134979496,5.27718252,0,6703.2002,Block 2002,6703,67.03,0,0,Outside Villages,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,7,229867.098266602,2472.29489871333
92,530330035001002,4.93668711522618,4.93691841,0,3500.1002,Block 1002,3500,35,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,215042.95098877,1958.99104715874
93,530330036012004,3.38141035813068,3.38163714,0,3601.2004,Block 2004,3601,36.01,0,0,Outside Villages,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6,6,147294.824371338,1611.61299335068
94,530330035002022,2.23120180493711,2.23136159,0,3500.2022,Block 2022,3500,35,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,97191.5393981934,1259.98451893204
95,530330074041000,2.18694479813743,2.18688262,0,7404.1000,Block 1000,7404,74.04,0,414.1,Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,3,95263.696472168,1234.86693725977
96,530330084022004,0.192601668044556,0.19249509,0,8402.2004,Block 2004,8402,84.02,0,414.2,Pike/Pine,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",7,3,8389.76223754883,520.713679533233
97,530330074052001,1.0203294357659,1.02029812,0,7405.2001,Block 2001,7405,74.05,0,414.1,Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,3,44445.7279968262,913.994448576972
98,530330074032001,2.47007336069117,2.47031249,0,7403.2001,Block 2001,7403,74.03,0,414.1,Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,3,107596.82598877,1348.63784711413
99,530330110011016,3.08474967555484,3.08486358,0,11001.1016,Block 1016,11001,110.01,0,123,Othello,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,2,134372.23336792,1647.49437442117
100,530330088003010,1.95219726081935,1.95237962,0,8800.3010,Block 3010,8800,88,0,109,23rd & Union-Jackson,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,3,85038.0528259277,1167.88800342152
101,530330022001018,6.59711303002191,6.59746657,0,2200.1018,Block 1018,2200,22,0,0,Outside Villages,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",5,5,287371.393066406,2300.64480826836
102,530330088001014,2.93315249035413,2.93338798,0,8800.1014,Block 1014,8800,88,0,0,Outside Villages,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,3,127768.633514404,1465.48384965613
103,530330088002021,4.16726510095064,4.16743225,0,8800.2021,Block 2021,8800,88,0,109,23rd & Union-Jackson,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,3,181526.793884277,1918.10464157727
104,530330088002015,4.75879585989505,4.75900253,0,8800.2015,Block 2015,8800,88,0,0,Outside Villages,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,3,207293.976806641,1953.83653272153
105,530330029002025,2.65781657562619,2.65811258,0,2900.2025,Block 2025,2900,29,0,102,Greenwood-Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,115774.953063965,1397.53222258798
106,530330028003012,3.80506775136152,3.80542287,0,2800.3012,Block 3012,2800,28,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,165749.414245605,1797.9560280431
107,530330027004006,0.895500938316181,0.8955099,0,2700.4006,Block 4006,2700,27,0,0,Outside Villages,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6,6,39008.176940918,1000.78441798749
108,530330065003003,4.49065101861441,4.49089319,0,6500.3003,Block 3003,6500,65,0,0,Outside Villages,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",3,3,195613.540802002,1916.72014662073
109,530330095001041,0.703934406848188,0.70400323,0,9500.1041,Block 1041,9500,95,0,0,Outside Villages,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",3,2,30663.5054321289,878.522625399074
110,530330264004004,0.285523778837805,0.28540672,0,26400.4004,Block 4004,26400,264,0,0,Outside Villages,3.1,3,South Park,South Park,1,1,12437.4655303955,710.931585870897
111,530330067032001,17.1832371940641,17.18420241,0,6703.2001,Block 2001,6703,67.03,0,0,Outside Villages,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,7,748504.806091309,3631.98170016346
112,530330101013006,3.18789206578823,3.18790652,0,10101.3006,Block 3006,10101,101.01,0,111,Columbia City,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,2,138865.133834839,1566.80357378548
113,530330010002008,11.8870818110044,11.88774567,0,1000.2008,Block 2008,1000,10,0,0,Outside Villages,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5,5,517803.354797363,3925.06432464958
114,530330095003028,4.26131354841088,4.2615794,0,9500.3028,Block 3028,9500,95,0,0,Outside Villages,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",2,2,185623.560668945,1939.76378441492
115,530330101021000,339.234690550224,0,339.24578836,10102.1000,Block 1000,10102,101.02,1,0,Outside Villages,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,2,14777122.2287598,16769.3708401936
116,530330029001015,3.990127282576,3.9905048,0,2900.1015,Block 1015,2900,29,0,102,Greenwood-Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,173810.639709473,1845.0217546867
117,530330029002014,2.27927520636598,2.27954714,0,2900.2014,Block 2014,2900,29,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,99285.6250915527,1287.74082590006
118,530330029002023,2.22759455571349,2.22765501,0,2900.2023,Block 2023,2900,29,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,97034.4070129395,1276.39810056769
119,530330034003005,3.29604368337545,3.29613868,0,3400.3005,Block 3005,3400,34,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,143576.237182617,1603.76077577466
120,530330034002014,3.60428827139507,3.60452619,0,3400.2014,Block 2014,3400,34,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,157003.425079346,1751.17481625891
121,530330029001013,3.99436783449985,3.99470559,0,2900.1013,Block 1013,2900,29,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,173995.358825684,1845.87862466344
122,530330029003009,3.94886914828479,3.9492382,0,2900.3009,Block 3009,2900,29,0,0,Outside Villages,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,6,172013.428161621,1833.61053894935
