OBJECTID,GEOID_20,GROSS_ACRES,ACRES_LAND,ACRES_WATER,TRBL_STR,NAME,TRACT_NUMB,TRACT_LABEL,WATER,VILLNUMB,VILLNAME,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,COUNCIL_DIST_13,COUNCIL_DIST_24,Shape__Area,Shape__Length
7555,530330116023010,1.95455942772317,1.95460356,0,11602.3010,Block 3010,11602,116.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,85140.9492492676,1326.20061516248
7556,530330121001001,34.1758106201942,34.17640393,0,12100.1001,Block 1001,12100,121,0,0,Outside Villages,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,1,1488704.26539612,5831.06371941301
7557,530330116012015,5.28424451503311,5.28434857,0,11601.2015,Block 2015,11601,116.01,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,230182.611816406,2256.83281358633
7558,530330120002014,3.25187916334644,3.25190681,0,12000.2014,Block 2014,12000,120,0,0,Outside Villages,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,1,141652.422988892,1698.40935934969
7559,530330105021010,4.8410546262792,4.84128862,0,10502.1010,Block 1010,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,210877.183059692,1963.84709290753
7560,530330105022003,3.4240998901498,3.42413926,0,10502.2003,Block 2003,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,149154.387863159,1843.31987129411
7561,530330105022004,2.66081411721561,2.66083074,0,10502.2004,Block 2004,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,115905.526565552,1389.41610119031
7562,530330105021013,5.04751840081823,5.04762162,0,10502.1013,Block 1013,10502,105.02,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,219870.781036377,1985.59282472657
7563,530330105021014,5.04237161719304,5.0424324,0,10502.1014,Block 1014,10502,105.02,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,219646.586242676,1976.2185387541
7564,530330105022011,0.563138166596884,0.56315316,0,10502.2011,Block 2011,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,24530.3966522217,714.346522684312
